title,author,country,genre
Дэвид Копперфильд,Чарльз Диккенс,,
Возвращение в Брайдсхед,Ивлин Во,,
О мышах и людях,Джон Стейнбек,,
Крестики-нолики,Мэлори Блэкмен,,
Поющие в терновнике,Колин Маккалоу,,
Ночная стража,Терри Пратчетт,,
Вики-Ангел,Жаклин Уилсон,,
Женщина в белом,Уильям Уилки Коллинз,,
Неуютная ферма,Стелла Гиббонс,,
Повелитель мух,Уильям Голдинг,, 
Ласточки и амазонки,Артур Рэнсом,,
Подходящий жених,Викрам Сет,,
Таинственный сад,Фрэнсис Бернетт,,детский роман
Чёрный красавчик,Анна Сьюэлл,,
Преступление и наказание,Фёдор Достоевский,,
Граф Монте-Кристо,Александр Дюма,,", "
Скотный двор,Джордж Оруэлл,,
Обитатели холмов,Ричард Адамс,,", "
Ребекка,Дафна Дюморье,,
Чарли и шоколадная фабрика,Роальд Даль,,
Дневник Трейси Бикер,Жаклин Уилсон,,
