;Original name;Russian name;Year;Country;Genre;Director;Actors
41;The Warriors;«Вoины»;1979;США;боевик, триллер, криминал;Уолтер Хилл;Майкл Бек, Дорси Райт, Брайан Тайлер
42;Alien;«Чужой»;1979;Великобритания, США;ужасы, фантастика, триллер;Ридли Скотт;Сигурни Уивер, Том Скеррит, Иэн Холм
43;Bridge on the River Kwai;«Мост через реку Квай»;1957;Великобритания, США;драма, приключения, военный;Дэвид Лин;Алек Гиннесс, Уильям Холден, Джек Хокинс
44;The Lord of the Rings;«Властелин колец»;2001;Новая Зеландия, США;фэнтези, приключения, драма;Питер Джексон;Элайджа Вуд, Иэн Маккеллен, Шон Эстин
45;Black Panther;«Черная Пантера»;2018;США;фантастика, боевик, приключения;Райан Куглер;Чедвик Боузман, Майкл Б. Джордан, Лупита Нионго
46;Reservoir Dogs;«Бешеные псы»;1991;США;криминал, драма, триллер;Квентин Тарантино;Харви Кейтель, Тим Рот, Майкл Мэдсен
47;The Maltese Falcon;«Мальтийский сокол»;1941;США;фильм-нуар, мелодрама, криминал;Джон Хьюстон;Хамфри Богарт, Мэри Астор, Глэдис Джордж
48;Dr. No;«Доктор Ноу»;1962;Великобритания;боевик, триллер, приключения;Теренс Янг;Шон Коннери, Урсула Андресс, Джозеф Уайзмен
49;Cool Hand Luke;«Хладнокровный Люк»;1967;США;драма, криминал;Стюарт Розенберг;Пол Ньюман, Джордж Кеннеди, Дж.Д. Кэннон
50;True Romance;«Настоящая любовь»;1993;США;криминал, мелодрама, боевик;Тони Скотт;Кристиан Слэйтер, Патриша Аркетт, Майкл Рапапорт
51;All Quiet on the Western Front;«На Западном фронте без перемен»;1930;США;драма, военный;Льюис Майлстоун;Луис Волхайм, Лью Эйрз, Джон Рэй
52;Caddyshack;«Гольф-клуб»;1980;США;комедия, спорт;Харольд Рэмис;Чеви Чейз, Родни Дейнджерфилд, Тед Найт
53;On the Waterfront;«В порту»;1954;США;драма, криминал, мелодрама;Элиа Казан;Марлон Брандо, Карл Молден, Ли Дж. Кобб
54;Paddington 2;«Приключения Паддингтона 2»;2017;Великобритания, Франция, Китай;фэнтези, комедия, семейный;Пол Кинг;Бен Уишоу, Хью Бонневилль, Салли Хокинс
55;Pan's Labyrinth;«Лабиринт фавна»;2006;Мексика, Испания;фэнтези, драма, военный;Гильермо дель Торо;Ивана Бакеро, Серхи Лопес, Марибель Верду
56;Call Me By Your Name;«Назови меня своим именем»;2017;Италия, Франция, США;драма, мелодрама;Лука Гуаданьино;Арми Хаммер, Тимоти Шаламе, Майкл Стулбарг
57;Spirited Away;«Унесенные призраками»;2001;Япония;аниме, мультфильм, фэнтези;Хаяо Миядзаки;Руми Хиираги, Мию Ирино, Мари Нацуки
58;Singin' in the Rain;«Поющие под дождем»;1951;США;мюзикл, мелодрама, комедия;Стэнли Донен, Джин Келли;Джин Келли, Дональд О’Коннор, Дебби Рейнолдс
59;Carol;«Кэрол»;2014;Великобритания, США, Австралия;драма, мелодрама;Тодд Хейнс;Кейт Бланшетт, Руни Мара, Кайл Чандлер
60;City Lights;«Огни большого города»;1931;США;комедия, мелодрама, драма;Чарльз Чаплин;Вирджиния Черрилл, Гарри Майерс, Аль Эрнест Гарсиа
61;The Treasure of the Sierra Madre;«Сокровища Сьерра-Мадре»;1947;США;драма, приключения, вестерн;Джон Хьюстон;Хамфри Богарт, Уолтер Хьюстон, Тим Холт
62;Cabaret;«Кабаре»;1972;США;драма, мюзикл;Боб Фосси;Лайза Миннелли, Майкл Йорк, Хельмут Грим
63;Some Like It Hot;«В джазе только девушки»;1959;США;мелодрама, комедия, криминал;Билли Уайлдер;Мэрилин Монро, Тони Кертис, Джек Леммон
64;All About Eve;«Все о Еве»;1950;США;драма;Джозеф Лео Манкевич;Бетт Дэвис, Энн Бакстер, Джордж Сандерс
65;Dr. Strangelove;«Доктор Стрейнджлав, или Как я перестал бояться и полюбил бомбу»;1963;Великобритания, США;комедия, фантастика, триллер;Стэнли Кубрик;Питер Селлерс, Джордж К. Скотт, Стерлинг Хейден
66;There Will Be Blood;«Нефть»;2017;США;драма;Пол Томас Андерсон;Дэниэл Дэй-Льюис, Пол Дано, Кевин Дж. О’Коннор
67;Crouching Tiger, Hidden Dragon;«Крадущийся тигр, затаившийся дракон»;2000;Тайвань, Гонконг, США;боевик, драма, мелодрама;Энг Ли;Чоу Юнь-Фат, Мишель Йео, Чжан Цзыи
68;Coco;«Тайна Коко»;2017;США, Япония;мультфильм, фэнтези, комедия;Ли Анкрич, Эдриан Молина;Энтони Гонсалес, Гаэль Гарсиа Берналь, Бенджамин Брэтт
69;Mean Streets;«Злые улицы»;1973;США;триллер, драма, криминал;Мартин Скорсезе;Харви Кейтель, Роберт Де Ниро, Дэвид Провал
70;Creed;«Крид: Наследие Рокки»;2015;США;боевик, драма, спорт;Райан Куглер;Майкл Б. Джордан, Сильвестр Сталлоне, Тесса Томпсон
